Theta,Total_Wave,First_Fail_Num,All_Fail_Num,,,,,,,
0.9,0,0,0,,,,,,,
0.91,0,0,0,,,Theta,Total_Wave,First_Fail_Num,All_Fail_Num,
0.92,1,1,1,,,0.94,1,1,1,
0.93,1,1,1,,,0.95,3,2,6,5
0.94,1,1,1,,,0.96,7,2,16,1.666666667
0.95,3,2,6,,,0.97,4,3,16,0
0.96,7,2,16,,,0.98,4,4,16,0
0.97,4,3,16,,,0.99,3,6,16,0
0.98,4,4,16,,,1,3,7,16,0
0.99,3,6,16,,,1.01,2,10,16,0
1,3,7,16,,,1.02,4,11,21,0.3125
1.01,2,10,16,,,1.03,3,12,22,0.047619048
1.02,4,11,21,,,1.04,3,16,23,0.045454545
1.03,3,12,22,,,1.05,3,19,24,0.043478261
1.04,3,16,23,,,,,,,
1.05,3,19,24,,,,,,,
1.06,3,19,24,,,,,,,
1.07,3,19,24,,,,,,,
1.08,2,20,24,,,,,,,
1.09,2,20,24,,,,,,,
1.1,2,20,24,,,,,,,
1.11,2,21,24,,,,,,,
1.12,2,22,24,,,,,,,
1.13,2,22,25,,,,,,,
1.14,2,22,25,,,,,,,
1.15,2,22,25,,,,,,,
1.16,2,22,25,,,,,,,
1.17,1,25,25,,,,,,,
1.18,1,25,25,,,,,,,
1.19,1,25,25,,,,,,,
1.2,1,25,25,,,,,,,